"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2022-02-16","'912828XZ8'","NotesBonds",,,"2025-06-30",,,"2.75",,"16295060400",,"0.4830155581950757","0","1565000000",
"2022-02-16","'91282CAB7'","NotesBonds",,,"2025-07-31",,,"0.25",,"9147285400",,"0.1676305820779258","0","2336000000",
"2022-02-16","'912828Y79'","NotesBonds",,,"2025-07-31",,,"2.875",,"10394040300",,"0.328622570966471","0","792000000",
"2022-02-16","'912810EV6'","NotesBonds",,,"2025-08-15",,,"6.875",,"7830500000",,"0.6999512925791039","0","19000000",
"2022-02-16","'912828K74'","NotesBonds",,,"2025-08-15",,,"2",,"10284460400",,"0.154701185953831","0","2071000000",
"2022-02-16","'91282CAJ0'","NotesBonds",,,"2025-08-31",,,"0.25",,"8891568700",,"0.1604080776665899","0","4461000000",
"2022-02-16","'9128284Z0'","NotesBonds",,,"2025-08-31",,,"2.75",,"11237898200",,"0.3386450033152134","0","844000000",
"2022-02-16","'91282CAM3'","NotesBonds",,,"2025-09-30",,,"0.25",,"8000952400",,"0.1327826075675673","0","200000000",
"2022-02-16","'9128285C0'","NotesBonds",,,"2025-09-30",,,"3",,"8871000000",,"0.2861612903225806","0","519000000",
"2022-02-16","'91282CAT8'","NotesBonds",,,"2025-10-31",,,"0.25",,"7199151000",,"0.1183390127416176","0","1364000000",
"2022-02-16","'9128285J5'","NotesBonds",,,"2025-10-31",,,"3",,"11506000000",,"0.3711613058874096","0","2066000000",
"2022-02-16","'912828M56'","NotesBonds",,,"2025-11-15",,,"2.25",,"6947282200",,"0.1050695115856353","0","75000000",
"2022-02-16","'91282CAZ4'","NotesBonds",,,"2025-11-30",,,"0.375",,"13650593600",,"0.2103081299644705","0","5433000000",
"2022-02-16","'9128285N6'","NotesBonds",,,"2025-11-30",,,"2.875",,"11143075800",,"0.3201187831117292","0","612000000",
